ngram;time_slot;df;idft;df_idft
girli ummami ceria;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
adimulyo bawah yayasan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
iptu mugiyono serta;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
candiwulan camat adimulyo;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
serta kanit binmas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
giat launching makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
ummami ceria smp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sppg dapur harap;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dapur harap bangsa;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
hadir giat launching;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bawah yayasan girli;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
desa candiwulan camat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
polsek adimulyo hadir;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
lacak kelola transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis lacak;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis lacak kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola transparan harga;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
kpk awas biar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
rupiah mbg makan;2025-08-09 13:00;3;2.3978952727983707;7.193685818395112
awas biar dana;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
biar dana sasar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka anggar kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
harga ikut pasar;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mbg buka anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
pasar at cost;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
ikut pasar at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis mbg buka;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
anggar kppn awas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kpk harga ikut;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost kppn awas;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
kppn awas bareng;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bareng kpk bpkp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg percaya anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
percaya anggar kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
