time_slot;ngram;n;df_idft
2025-11-09;f i;2;0.04316546762589928
2025-11-09;u d;2;0.1079136690647482
2025-11-09;n d;2;0.2517985611510791
2025-11-09;m a;2;0.7194244604316546
2025-11-09;s i;2;0.539568345323741
2025-11-09;u k;2;0.23741007194244604
2025-11-09;a p;2;0.28776978417266186
2025-11-09;s u;2;0.17266187050359713
2025-11-09;p a;2;0.3237410071942446
2025-11-09;m b;2;0.7482014388489209
2025-11-09;b g;2;0.6546762589928058
2025-11-09;k  ;2;0.5107913669064749
2025-11-09;b u;2;0.22302158273381295
2025-11-09;m  ;2;0.4244604316546763
2025-11-09;  e;2;0.17985611510791366
2025-11-09;n g;2;0.7482014388489209
2025-11-09;  c;2;0.23741007194244604
2025-11-09;  b;2;0.5899280575539568
2025-11-09;g  ;2;0.8201438848920863
2025-11-09;o n;2;0.2589928057553957
2025-11-09;n y;2;0.1079136690647482
2025-11-09;r e;2;0.19424460431654678
2025-11-09;  i;2;0.2949640287769784
2025-11-09;g s;2;0.10071942446043165
2025-11-09;u m;2;0.18705035971223022
2025-11-09;i h;2;0.11510791366906475
2025-11-09;y a;2;0.28776978417266186
2025-11-09;c e;2;0.1366906474820144
2025-11-09;o g;2;0.39568345323741005
2025-11-09;  r;2;0.2949640287769784
2025-11-09;d o;2;0.15827338129496402
2025-11-09;b a;2;0.4460431654676259
2025-11-09;p r;2;0.48201438848920863
2025-11-09;s a;2;0.3381294964028777
2025-11-09;i l;2;0.19424460431654678
2025-11-09;i a;2;0.26618705035971224
2025-11-09;  n;2;0.28776978417266186
2025-11-09;u h;2;0.17985611510791366
2025-11-09;r o;2;0.45323741007194246
2025-11-09;  t;2;0.4460431654676259
2025-11-09;r d;2;0.08633093525179857
2025-11-09;a i;2;0.15827338129496402
2025-11-09;e s;2;0.35251798561151076
2025-11-09;i m;2;0.15827338129496402
2025-11-09;a m;2;0.539568345323741
2025-11-09;n a;2;0.4172661870503597
2025-11-09;e m;2;0.2949640287769784
2025-11-09;b o;2;0.1079136690647482
2025-11-09;d e;2;0.1366906474820144
2025-11-09;o r;2;0.2014388489208633
2025-11-09;a u;2;0.09352517985611511
2025-11-09;a c;2;0.11510791366906475
2025-11-09;i o;2;0.04316546762589928
2025-11-09;d  ;2;0.09352517985611511
2025-11-09;f o;2;0.02158273381294964
2025-11-09;c a;2;0.11510791366906475
2025-11-09;o w;2;0.08633093525179857
2025-11-09;u j;2;0.04316546762589928
2025-11-09;a b;2;0.22302158273381295
2025-11-09;c i;2;0.05755395683453238
2025-11-09;i d;2;0.1366906474820144
2025-11-09;o  ;2;0.2014388489208633
2025-11-09;w o;2;0.10071942446043165
2025-11-09;h i;2;0.05755395683453238
2025-11-09;s m;2;0.04316546762589928
2025-11-09;k d;2;0.007194244604316547
2025-11-09;  f;2;0.050359712230215826
2025-11-09;w u;2;0.014388489208633094
2025-11-09;p  ;2;0.20863309352517986
2025-11-09;  w;2;0.16546762589928057
2025-11-09;k g;2;0.014388489208633094
2025-11-09;e k;2;0.2446043165467626
2025-11-09;c k;2;0.02877697841726619
2025-11-09;e g;2;0.1366906474820144
2025-11-09;t r;2;0.16546762589928057
2025-11-09;e l;2;0.2302158273381295
2025-11-09;l u;2;0.17266187050359713
2025-11-09;n o;2;0.10071942446043165
2025-11-09;k t;2;0.050359712230215826
2025-11-09;g k;2;0.12949640287769784
2025-11-09;l i;2;0.2517985611510791
2025-11-09;t o;2;0.12949640287769784
2025-11-09;t e;2;0.23741007194244604
2025-11-09;r n;2;0.050359712230215826
2025-11-09;o v;2;0.050359712230215826
